127.0.0.1 - - [14/Feb/2019:16:31:18 -0600] "GET / HTTP/1.1" 200 11286
0:0:0:0:0:0:0:1 - - [14/Feb/2019:16:31:26 -0600] "GET / HTTP/1.1" 200 11286
0:0:0:0:0:0:0:1 - - [14/Feb/2019:16:31:26 -0600] "GET /tomcat.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2019:16:31:26 -0600] "GET /tomcat.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2019:16:31:27 -0600] "GET /bg-button.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2019:16:31:27 -0600] "GET /bg-upper.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2019:16:31:27 -0600] "GET /bg-nav.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2019:16:31:27 -0600] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2019:16:31:27 -0600] "GET /bg-middle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Feb/2019:16:31:42 -0600] "GET /Jupiter/search HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [14/Feb/2019:16:32:06 -0600] "GET /Jupiter/search HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [14/Feb/2019:16:32:06 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
