127.0.0.1 - - [05/Mar/2019:16:55:38 -0600] "GET / HTTP/1.1" 200 11286
0:0:0:0:0:0:0:1 - - [05/Mar/2019:16:56:09 -0600] "GET /Jupiter/search?username=abcd HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [05/Mar/2019:16:56:10 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Mar/2019:16:56:14 -0600] "GET /Jupiter/index HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [05/Mar/2019:16:56:20 -0600] "GET /Jupiter/ HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [05/Mar/2019:16:58:15 -0600] "GET /Jupiter/index.html HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [05/Mar/2019:17:19:12 -0600] "GET /Jupiter/index.html HTTP/1.1" 200 3068
0:0:0:0:0:0:0:1 - - [05/Mar/2019:17:19:12 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Mar/2019:17:25:42 -0600] "GET /Jupiter/index.html HTTP/1.1" 200 3117
0:0:0:0:0:0:0:1 - - [05/Mar/2019:17:25:42 -0600] "GET /Jupiter/styles/main.css HTTP/1.1" 200 2770
0:0:0:0:0:0:0:1 - - [05/Mar/2019:17:25:43 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Mar/2019:17:43:24 -0600] "GET /Jupiter/index.html HTTP/1.1" 200 3126
0:0:0:0:0:0:0:1 - - [05/Mar/2019:17:43:24 -0600] "GET /Jupiter/styles/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2019:17:43:25 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Mar/2019:17:43:47 -0600] "GET /Jupiter/index.html HTTP/1.1" 200 3117
0:0:0:0:0:0:0:1 - - [05/Mar/2019:17:43:47 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
