127.0.0.1 - - [27/Apr/2019:00:16:17 -0500] "GET / HTTP/1.1" 200 11286
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:16:20 -0500] "GET /Jupiter/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:16:20 -0500] "GET /Jupiter/styles/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:16:21 -0500] "GET /Jupiter/scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:16:22 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:16:24 -0500] "GET /Jupiter/search?user_id=null&term=all HTTP/1.1" 200 8516
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:16:31 -0500] "GET /Jupiter/upload_item.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:16:31 -0500] "GET /Jupiter/styles/upload_item.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:17:32 -0500] "GET /Jupiter/search?user_id=null&term=all HTTP/1.1" 200 8516
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:19:52 -0500] "GET /Jupiter/search?user_id=null&term=all HTTP/1.1" 200 8516
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:54:44 -0500] "GET /Jupiter/upload_item.html HTTP/1.1" 200 7450
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:54:44 -0500] "GET /Jupiter/styles/upload_item.css HTTP/1.1" 200 2622
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:54:45 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:55:39 -0500] "GET /Jupiter/upload_item.html HTTP/1.1" 200 7445
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:55:39 -0500] "GET /Jupiter/styles/upload_item.css HTTP/1.1" 200 2622
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:55:39 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:57:19 -0500] "GET /Jupiter/ HTTP/1.1" 200 4151
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:57:19 -0500] "GET /Jupiter/styles/main.css HTTP/1.1" 200 3553
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:57:19 -0500] "GET /Jupiter/scripts/main.js HTTP/1.1" 200 11887
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:57:21 -0500] "GET /Jupiter/search?user_id=null&term=all HTTP/1.1" 200 8516
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:58:32 -0500] "GET /Jupiter/ HTTP/1.1" 200 4151
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:58:32 -0500] "GET /Jupiter/styles/main.css HTTP/1.1" 200 3553
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:58:32 -0500] "GET /Jupiter/scripts/main.js HTTP/1.1" 200 11887
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:58:34 -0500] "GET /Jupiter/upload_item.html HTTP/1.1" 200 7448
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:58:34 -0500] "GET /Jupiter/styles/upload_item.css HTTP/1.1" 200 2622
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:58:37 -0500] "GET /Jupiter/ HTTP/1.1" 200 4151
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:58:38 -0500] "GET /Jupiter/styles/main.css HTTP/1.1" 200 3553
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:58:38 -0500] "GET /Jupiter/scripts/main.js HTTP/1.1" 200 11887
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:58:44 -0500] "GET /Jupiter/ HTTP/1.1" 200 4151
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:58:44 -0500] "GET /Jupiter/styles/main.css HTTP/1.1" 200 3553
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:58:44 -0500] "GET /Jupiter/scripts/main.js HTTP/1.1" 200 11887
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:58:46 -0500] "GET /Jupiter/search?user_id=null&term=all HTTP/1.1" 200 8516
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:58:56 -0500] "GET /Jupiter/ HTTP/1.1" 200 4151
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:58:56 -0500] "GET /Jupiter/styles/main.css HTTP/1.1" 200 3553
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:58:57 -0500] "GET /Jupiter/scripts/main.js HTTP/1.1" 200 11887
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:58:58 -0500] "GET /Jupiter/search?user_id=null&term=all HTTP/1.1" 200 8516
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:59:03 -0500] "GET /Jupiter/search?user_id=null&term=all HTTP/1.1" 200 8516
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:59:05 -0500] "GET /Jupiter/upload_item.html HTTP/1.1" 200 7448
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:59:05 -0500] "GET /Jupiter/styles/upload_item.css HTTP/1.1" 200 2622
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:59:26 -0500] "GET /Jupiter/ HTTP/1.1" 200 4151
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:59:27 -0500] "GET /Jupiter/styles/main.css HTTP/1.1" 200 3553
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:59:27 -0500] "GET /Jupiter/scripts/main.js HTTP/1.1" 200 11887
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:59:28 -0500] "GET /Jupiter/search?user_id=null&term=all HTTP/1.1" 200 8516
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:59:53 -0500] "GET /Jupiter/ HTTP/1.1" 200 4151
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:59:53 -0500] "GET /Jupiter/styles/main.css HTTP/1.1" 200 3553
0:0:0:0:0:0:0:1 - - [27/Apr/2019:00:59:53 -0500] "GET /Jupiter/scripts/main.js HTTP/1.1" 200 11887
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:01:29 -0500] "GET /Jupiter/upload_item.html HTTP/1.1" 200 7448
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:01:29 -0500] "GET /Jupiter/styles/upload_item.css HTTP/1.1" 200 2622
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:01:50 -0500] "GET /Jupiter/ HTTP/1.1" 200 4151
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:01:50 -0500] "GET /Jupiter/styles/main.css HTTP/1.1" 200 3553
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:01:50 -0500] "GET /Jupiter/scripts/main.js HTTP/1.1" 200 11887
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:02:57 -0500] "GET /Jupiter/ HTTP/1.1" 200 4151
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:02:57 -0500] "GET /Jupiter/styles/main.css HTTP/1.1" 200 3553
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:02:57 -0500] "GET /Jupiter/scripts/main.js HTTP/1.1" 200 11887
0:0:0:0:0:0:0:1 - - [27/Apr/2019:01:02:58 -0500] "GET /Jupiter/upload_item.html HTTP/1.1" 200 7448
